,currency,base,conversion rates,date
29,CHF,EUR,1.083734,2021-01-01
30,CLF,EUR,0.031352,2021-01-01
31,CLP,EUR,865.092367,2021-01-01
32,CNY,EUR,7.954472,2021-01-01
33,COP,EUR,4166.544375,2021-01-01
34,CRC,EUR,746.883492,2021-01-01
35,CUC,EUR,1.217576,2021-01-01
36,CUP,EUR,32.265759,2021-01-01
37,CVE,EUR,109.915261,2021-01-01
38,CZK,EUR,26.141601,2021-01-01
39,DJF,EUR,216.38805,2021-01-01
40,DKK,EUR,7.418573,2021-01-01
41,DOP,EUR,71.140638,2021-01-01
42,DZD,EUR,160.804337,2021-01-01
43,EGP,EUR,19.289571,2021-01-01
44,ERN,EUR,18.264073,2021-01-01
45,ETB,EUR,48.157468,2021-01-01
46,EUR,EUR,1.0,2021-01-01
47,FJD,EUR,2.482886,2021-01-01
48,FKP,EUR,0.893125,2021-01-01
49,GBP,EUR,0.890496,2021-01-01
50,GEL,EUR,3.999785,2021-01-01
51,GGP,EUR,0.893125,2021-01-01
52,GHS,EUR,7.182546,2021-01-01
53,GIP,EUR,0.893125,2021-01-01
54,GMD,EUR,62.961319,2021-01-01
55,GNF,EUR,12229.885733,2021-01-01
56,GTQ,EUR,9.537951,2021-01-01
57,GYD,EUR,255.995448,2021-01-01
58,HKD,EUR,9.44017,2021-01-01
59,HNL,EUR,29.502127,2021-01-01
60,HRK,EUR,7.523893,2021-01-01
61,HTG,EUR,88.876205,2021-01-01
62,HUF,EUR,361.523078,2021-01-01
63,IDR,EUR,17306.247832,2021-01-01
64,ILS,EUR,3.912096,2021-01-01
65,IMP,EUR,0.893125,2021-01-01
66,INR,EUR,88.995355,2021-01-01
67,IQD,EUR,1787.681776,2021-01-01
68,IRR,EUR,51266.029328,2021-01-01
69,ISK,EUR,155.618833,2021-01-01
70,JEP,EUR,0.893125,2021-01-01
71,JMD,EUR,174.975246,2021-01-01
72,JOD,EUR,0.863309,2021-01-01
73,JPY,EUR,125.702994,2021-01-01
74,KES,EUR,133.617236,2021-01-01
75,KGS,EUR,101.672207,2021-01-01
76,KHR,EUR,4940.878621,2021-01-01
77,KMF,EUR,490.683473,2021-01-01
78,KPW,EUR,1095.847406,2021-01-01
79,KRW,EUR,1321.959036,2021-01-01
80,KWD,EUR,0.370326,2021-01-01
81,KYD,EUR,1.019656,2021-01-01
82,KZT,EUR,515.679161,2021-01-01
83,LAK,EUR,11373.41095,2021-01-01
84,LBP,EUR,1850.113126,2021-01-01
85,LKR,EUR,226.672252,2021-01-01
86,LRD,EUR,200.017312,2021-01-01
87,LSL,EUR,17.886653,2021-01-01
88,LTL,EUR,3.595185,2021-01-01
89,LVL,EUR,0.7365,2021-01-01
90,LYD,EUR,1.636892,2021-01-01
91,MAD,EUR,10.869415,2021-01-01
92,MDL,EUR,21.026396,2021-01-01
93,MGA,EUR,4675.49148,2021-01-01
94,MKD,EUR,61.419569,2021-01-01
95,MMK,EUR,1624.942995,2021-01-01
96,MNT,EUR,3470.081744,2021-01-01
97,MOP,EUR,9.770611,2021-01-01
98,MRO,EUR,434.67435,2021-01-01
99,MUR,EUR,48.342317,2021-01-01
100,MVR,EUR,18.755222,2021-01-01
101,MWK,EUR,943.20083,2021-01-01
102,MXN,EUR,24.20809,2021-01-01
103,MYR,EUR,4.897703,2021-01-01
104,MZN,EUR,91.200971,2021-01-01
105,NAD,EUR,17.886648,2021-01-01
106,NGN,EUR,464.144431,2021-01-01
107,NIO,EUR,42.642316,2021-01-01
108,NOK,EUR,10.511345,2021-01-01
109,NPR,EUR,143.047836,2021-01-01
110,NZD,EUR,1.851356,2021-01-01
111,OMR,EUR,0.468729,2021-01-01
112,PAB,EUR,1.223607,2021-01-01
113,PEN,EUR,4.429406,2021-01-01
114,PGK,EUR,4.351354,2021-01-01
115,PHP,EUR,58.559355,2021-01-01
116,PKR,EUR,196.020981,2021-01-01
117,PLN,EUR,4.5705,2021-01-01
118,PYG,EUR,8463.370406,2021-01-01
119,QAR,EUR,4.433498,2021-01-01
120,RON,EUR,4.849731,2021-01-01
121,RSD,EUR,117.192125,2021-01-01
122,RUB,EUR,90.033689,2021-01-01
123,RWF,EUR,1212.601624,2021-01-01
124,SAR,EUR,4.567229,2021-01-01
125,SBD,EUR,9.743101,2021-01-01
126,SCR,EUR,25.81785,2021-01-01
127,SDG,EUR,67.271516,2021-01-01
128,SEK,EUR,10.068488,2021-01-01
129,SGD,EUR,1.609153,2021-01-01
130,SHP,EUR,0.893125,2021-01-01
131,SLL,EUR,12317.61001,2021-01-01
132,SOS,EUR,709.847101,2021-01-01
133,SRD,EUR,17.233614,2021-01-01
134,STD,EUR,25368.025331,2021-01-01
135,SVC,EUR,10.706932,2021-01-01
136,SYP,EUR,624.40408,2021-01-01
137,SZL,EUR,17.953274,2021-01-01
138,THB,EUR,36.512709,2021-01-01
139,TJS,EUR,13.860298,2021-01-01
140,TMT,EUR,4.261515,2021-01-01
141,TND,EUR,3.280763,2021-01-01
142,TOP,EUR,2.768829,2021-01-01
143,TRY,EUR,9.057795,2021-01-01
144,TTD,EUR,8.273774,2021-01-01
145,TWD,EUR,34.176181,2021-01-01
146,TZS,EUR,2822.99458,2021-01-01
147,UAH,EUR,34.670781,2021-01-01
148,UGX,EUR,4473.465881,2021-01-01
149,USD,EUR,1.217576,2021-01-01
150,UYU,EUR,51.586856,2021-01-01
151,UZS,EUR,12819.579387,2021-01-01
152,VEF,EUR,12.160543,2021-01-01
153,VND,EUR,28101.649376,2021-01-01
154,VUV,EUR,132.420866,2021-01-01
155,WST,EUR,3.097479,2021-01-01
156,XAF,EUR,653.876431,2021-01-01
157,XAG,EUR,0.046289,2021-01-01
158,XAU,EUR,0.000643,2021-01-01
159,XCD,EUR,3.29056,2021-01-01
160,XDR,EUR,0.849597,2021-01-01
161,XOF,EUR,653.876431,2021-01-01
162,XPF,EUR,119.38375,2021-01-01
163,YER,EUR,304.88536,2021-01-01
164,ZAR,EUR,17.852821,2021-01-01
165,ZMK,EUR,10959.647632,2021-01-01
166,ZMW,EUR,25.903677,2021-01-01
167,ZWL,EUR,392.059632,2021-01-01
